维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
6D,整库_w=5,5,合面积,33,0.4652,-0.7274,-0.5208,43.2279,33星_Ridge_CV-R2_0.4652_OOT-SMOOTH-R2_-0.7274_OOT-RAW-R2_-0.5208_Params_alpha_43.2279.png
6D,整库_w=5,5,合面积,20,0.4655,-0.7316,-0.5266,57.3624,20星_Ridge_CV-R2_0.4655_OOT-SMOOTH-R2_-0.7316_OOT-RAW-R2_-0.5266_Params_alpha_57.3624.png
6D,整库_w=5,5,合面积,32,0.4783,-0.7421,-0.5325,40.189,32星_Ridge_CV-R2_0.4783_OOT-SMOOTH-R2_-0.7421_OOT-RAW-R2_-0.5325_Params_alpha_40.1890.png
3D_V,整库_w=5,5,合面积,19,0.4899,-0.7412,-0.5333,3.5301,19星_Ridge_CV-R2_0.4899_OOT-SMOOTH-R2_-0.7412_OOT-RAW-R2_-0.5333_Params_alpha_3.5301.png
3D,整库_w=4,4,合面积,17,0.4483,-0.7732,-0.5527,0.7164,17星_Ridge_CV-R2_0.4483_OOT-SMOOTH-R2_-0.7732_OOT-RAW-R2_-0.5527_Params_alpha_0.7164.png
3D,整库_w=5,5,合面积,41,0.4251,-0.7712,-0.5547,60.4744,41星_Ridge_CV-R2_0.4251_OOT-SMOOTH-R2_-0.7712_OOT-RAW-R2_-0.5547_Params_alpha_60.4744.png
3D,整库_w=5,5,合面积,39,0.4282,-0.7812,-0.5622,64.5237,39星_Ridge_CV-R2_0.4282_OOT-SMOOTH-R2_-0.7812_OOT-RAW-R2_-0.5622_Params_alpha_64.5237.png
3D,整库_w=5,5,合面积,40,0.4247,-0.7884,-0.5672,62.9734,40星_Ridge_CV-R2_0.4247_OOT-SMOOTH-R2_-0.7884_OOT-RAW-R2_-0.5672_Params_alpha_62.9734.png
3D,整库_w=5,5,合面积,42,0.4121,-0.7989,-0.5747,60.5189,42星_Ridge_CV-R2_0.4121_OOT-SMOOTH-R2_-0.7989_OOT-RAW-R2_-0.5747_Params_alpha_60.5189.png
6D,整库_w=5,5,合面积,27,0.4386,-0.7988,-0.5756,63.2062,27星_Ridge_CV-R2_0.4386_OOT-SMOOTH-R2_-0.7988_OOT-RAW-R2_-0.5756_Params_alpha_63.2062.png
3D,整库_w=5,5,合面积,38,0.4361,-0.8064,-0.5805,61.391,38星_Ridge_CV-R2_0.4361_OOT-SMOOTH-R2_-0.8064_OOT-RAW-R2_-0.5805_Params_alpha_61.3910.png
6D,整库_w=5,5,合面积,26,0.4367,-0.8082,-0.5835,44.5666,26星_Ridge_CV-R2_0.4367_OOT-SMOOTH-R2_-0.8082_OOT-RAW-R2_-0.5835_Params_alpha_44.5666.png
6D,整库_w=5,5,合面积,25,0.4355,-0.8252,-0.5958,45.8785,25星_Ridge_CV-R2_0.4355_OOT-SMOOTH-R2_-0.8252_OOT-RAW-R2_-0.5958_Params_alpha_45.8785.png
6D,整库_w=5,5,合面积,24,0.4445,-0.8319,-0.6007,43.3641,24星_Ridge_CV-R2_0.4445_OOT-SMOOTH-R2_-0.8319_OOT-RAW-R2_-0.6007_Params_alpha_43.3641.png
3D,整库_w=5,5,合面积,36,0.4291,-0.8703,-0.6268,39.3284,36星_Ridge_CV-R2_0.4291_OOT-SMOOTH-R2_-0.8703_OOT-RAW-R2_-0.6268_Params_alpha_39.3284.png
3D,整库_w=4,4,合面积,19,0.4517,-0.8795,-0.6289,5.9247,19星_Ridge_CV-R2_0.4517_OOT-SMOOTH-R2_-0.8795_OOT-RAW-R2_-0.6289_Params_alpha_5.9247.png
3D,整库_w=4,4,合面积,18,0.4511,-0.8895,-0.6364,5.4926,18星_Ridge_CV-R2_0.4511_OOT-SMOOTH-R2_-0.8895_OOT-RAW-R2_-0.6364_Params_alpha_5.4926.png
3D_V,整库_w=5,5,合面积,26,0.4789,-0.8951,-0.6458,9.5616,26星_Ridge_CV-R2_0.4789_OOT-SMOOTH-R2_-0.8951_OOT-RAW-R2_-0.6458_Params_alpha_9.5616.png
3D,整库_w=5,5,合面积,37,0.4274,-0.9,-0.6488,38.8733,37星_Ridge_CV-R2_0.4274_OOT-SMOOTH-R2_-0.9000_OOT-RAW-R2_-0.6488_Params_alpha_38.8733.png
3D,整库_w=4,4,合面积,16,0.4639,-0.9084,-0.6502,0.4336,16星_Ridge_CV-R2_0.4639_OOT-SMOOTH-R2_-0.9084_OOT-RAW-R2_-0.6502_Params_alpha_0.4336.png
3D,整库_w=5,5,合面积,18,0.4579,-0.9233,-0.6611,4.3313,18星_Ridge_CV-R2_0.4579_OOT-SMOOTH-R2_-0.9233_OOT-RAW-R2_-0.6611_Params_alpha_4.3313.png
6D,整库_w=5,5,合面积,23,0.4454,-0.9168,-0.6622,40.1349,23星_Ridge_CV-R2_0.4454_OOT-SMOOTH-R2_-0.9168_OOT-RAW-R2_-0.6622_Params_alpha_40.1349.png
6D,整库_w=5,5,合面积,22,0.4496,-0.9172,-0.6625,39.4307,22星_Ridge_CV-R2_0.4496_OOT-SMOOTH-R2_-0.9172_OOT-RAW-R2_-0.6625_Params_alpha_39.4307.png
3D,整库_w=5,5,合面积,17,0.4705,-0.9412,-0.6735,4.0435,17星_Ridge_CV-R2_0.4705_OOT-SMOOTH-R2_-0.9412_OOT-RAW-R2_-0.6735_Params_alpha_4.0435.png
3D_V,整库_w=5,5,合面积,25,0.4771,-0.955,-0.6895,10.0059,25星_Ridge_CV-R2_0.4771_OOT-SMOOTH-R2_-0.9550_OOT-RAW-R2_-0.6895_Params_alpha_10.0059.png
6D,整库_w=5,5,合面积,21,0.4639,-1.0084,-0.7283,36.2606,21星_Ridge_CV-R2_0.4639_OOT-SMOOTH-R2_-1.0084_OOT-RAW-R2_-0.7283_Params_alpha_36.2606.png
3D,整库_w=5,5,合面积,16,0.4768,-1.0396,-0.7445,3.0544,16星_Ridge_CV-R2_0.4768_OOT-SMOOTH-R2_-1.0396_OOT-RAW-R2_-0.7445_Params_alpha_3.0544.png
3D_V,整库_w=5,5,合面积,24,0.4967,-1.0399,-0.7515,7.883,24星_Ridge_CV-R2_0.4967_OOT-SMOOTH-R2_-1.0399_OOT-RAW-R2_-0.7515_Params_alpha_7.8830.png
3D,整库_w=5,5,合面积,35,0.4425,-1.0446,-0.7529,30.9411,35星_Ridge_CV-R2_0.4425_OOT-SMOOTH-R2_-1.0446_OOT-RAW-R2_-0.7529_Params_alpha_30.9411.png
3D,整库_w=5,5,合面积,45,0.4203,-1.0464,-0.7538,31.7118,45星_Ridge_CV-R2_0.4203_OOT-SMOOTH-R2_-1.0464_OOT-RAW-R2_-0.7538_Params_alpha_31.7118.png
3D,整库_w=5,5,合面积,34,0.4504,-1.0515,-0.7578,30.6265,34星_Ridge_CV-R2_0.4504_OOT-SMOOTH-R2_-1.0515_OOT-RAW-R2_-0.7578_Params_alpha_30.6265.png
