Body,Window,Type,k_obs,k_exp,Ratio_Freq,Avg_Area,Ratio_Amp,p_val,Effect,Stage,p_adj_bh,sig_fdr
136108_lon,6,Conjunction,1365,1329.18,102.69,301.69,99.37000274658205,0.3242008494811658,Enhancement,Flare_All,0.5242253901548457,False
136108_lon,6,Opposition,1301,1344.14,96.79,276.89,91.1999969482422,0.2358173266638373,Suppression,Flare_All,0.4650841720314569,False
136108_lon,7,Conjunction,1601,1551.43,103.19,313.62,103.3000030517578,0.2044999173511121,Enhancement,Flare_All,0.3749165151437055,False
136108_lon,7,Opposition,1517,1568.09,96.74,268.79,88.52999877929688,0.191232370382026,Suppression,Flare_All,0.40474927172997915,False
136108_lon,8,Conjunction,1805,1772.24,101.85,300.54,98.98999786376952,0.4320311486432697,Enhancement,Flare_All,0.60252915551856,False
136108_lon,8,Opposition,1732,1791.16,96.7,274.91,90.5500030517578,0.1547763270137074,Suppression,Flare_All,0.35037771419624775,False
136108_lon,9,Conjunction,2016,1991.43,101.23,294.02,96.83999633789062,0.5781942144676209,Enhancement,Flare_All,0.7088096958415507,False
136108_lon,9,Opposition,1948,2014.75,96.69,275.15,90.62999725341795,0.1284623765260008,Suppression,Flare_All,0.2937414011268221,False
136108_lon,10,Conjunction,2236,2209.47,101.2,288.94,95.16999816894533,0.5670677962658229,Enhancement,Flare_All,0.7063476058749724,False
136108_lon,10,Opposition,2184,2238.08,97.58,274.19,90.30999755859376,0.2429710028470565,Suppression,Flare_All,0.45602893011364604,False
136472_lon,1,Conjunction,240,215.45,111.39,330.25,108.77999877929688,0.1041549042641335,Enhancement,Flare_All,0.4882161553786791,False
136472_lon,1,Opposition,219,215.24,101.75,395.89,130.39999389648438,0.8152486424951394,Enhancement,Flare_All,0.9767258216503286,False
136472_lon,2,Conjunction,447,429.5,104.08,356.71,117.48999786376952,0.407877126808248,Enhancement,Flare_All,0.7073075425176988,False
136472_lon,2,Opposition,430,430.31,99.93,302.19,99.52999877929688,1.0,Suppression,Flare_All,1.0,False
136472_lon,3,Conjunction,645,643.64,100.21,346.42,114.0999984741211,0.9676997300526162,Enhancement,Flare_All,1.0,False
136472_lon,3,Opposition,649,645.91,100.48,292.06,96.1999969482422,0.9130049338301564,Enhancement,Flare_All,0.9925559450508088,False
136472_lon,4,Conjunction,875,856.61,102.15,374.42,123.33000183105467,0.5342627142013919,Enhancement,Flare_All,0.7570820592139516,False
136472_lon,4,Opposition,887,861.95,102.91,277.36,91.36000061035156,0.3968578631143912,Enhancement,Flare_All,0.7076392490692683,False
136472_lon,5,Conjunction,1090,1068.86,101.98,362.32,119.33999633789062,0.5201121916411992,Enhancement,Flare_All,0.7173128151423781,False
136472_lon,5,Opposition,1147,1079.94,106.21,289.89,95.4800033569336,0.0414611442750622,Enhancement,Flare_All,0.16865184207720615,False
136472_lon,6,Conjunction,1300,1281.27,101.46,331.23,109.0999984741211,0.6023628616251236,Enhancement,Flare_All,0.7491913288033385,False
136472_lon,6,Opposition,1342,1297.72,103.41,294.35,96.9499969482422,0.2172990397503902,Enhancement,Flare_All,0.4463587378783747,False
136472_lon,7,Conjunction,1499,1494.59,100.29,324.01,106.72000122070312,0.914730995570925,Enhancement,Flare_All,0.9548629934146834,False
136472_lon,7,Opposition,1562,1514.89,103.11,288.35,94.9800033569336,0.2226284650513015,Enhancement,Flare_All,0.4446875478390447,False
136472_lon,8,Conjunction,1695,1709.98,99.12,343.72,113.20999908447266,0.7227964296967603,Suppression,Flare_All,0.845726575608641,False
136472_lon,8,Opposition,1766,1732.54,101.93,284.69,93.7699966430664,0.417180945500647,Enhancement,Flare_All,0.6376092337299517,False
136472_lon,9,Conjunction,1914,1925.35,99.41,345.88,113.93000030517578,0.8022808310338811,Suppression,Flare_All,0.8849599510005548,False
136472_lon,9,Opposition,2021,1950.51,103.61,284.63,93.75,0.1051930316119868,Enhancement,Flare_All,0.25593693984100213,False
136472_lon,10,Conjunction,2125,2140.01,99.3,334.17,110.06999969482422,0.7492643963838279,Suppression,Flare_All,0.8468531021357013,False
