Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
Onset,Small <100,3,Conjunction,31241,4762,3934.15,121.04,0.25417458254174585,1.37,Enhancement
Onset,Small <100,4,Opposition,31241,4601,5138.52,89.54,0.8425157484251575,-0.71,Suppression
Onset,Small <100,4,Conjunction,31241,6167,5145.77,119.85,0.2967703229677032,1.3,Enhancement
Onset,Small <100,5,Opposition,31241,5666,6301.53,89.91,0.9077092290770923,-0.68,Suppression
Onset,Small <100,5,Conjunction,31241,7445,6310.25,117.98,0.37816218378162186,1.24,Enhancement
Onset,Medium 100-500,1,Opposition,1984,80,86.52,92.47,1.0,-0.21,Suppression
Onset,Medium 100-500,1,Conjunction,1984,77,86.53,88.98,0.7709229077092291,-0.31,Suppression
Onset,Medium 100-500,2,Opposition,1984,146,169.72,86.02,0.48875112488751127,-0.43,Suppression
Onset,Medium 100-500,2,Conjunction,1984,150,169.75,88.36,0.6697330266973303,-0.35,Suppression
Onset,Medium 100-500,3,Opposition,1984,234,249.73,93.7,0.9605039496050395,-0.2,Suppression
Onset,Medium 100-500,3,Conjunction,1984,233,249.78,93.28,0.9807019298070193,-0.22,Suppression
Onset,Medium 100-500,4,Opposition,1984,292,326.64,89.39,0.6583341665833417,-0.36,Suppression
Onset,Medium 100-500,4,Conjunction,1984,298,326.7,91.21,0.8689131086891311,-0.28,Suppression
Onset,Medium 100-500,5,Opposition,1984,351,400.57,87.63,0.44275572442755723,-0.44,Suppression
Onset,Medium 100-500,5,Conjunction,1984,374,400.64,93.35,0.9761023897610239,-0.23,Suppression
Onset,Large 500-2000,1,Opposition,53,0,2.31,0.0,0.22577742225777422,-1.31,Suppression
Onset,Large 500-2000,1,Conjunction,53,2,2.3,86.78,1.0,-0.16,Suppression
Onset,Large 500-2000,2,Opposition,53,1,4.52,22.1,0.1401859814018598,-1.31,Suppression
Onset,Large 500-2000,2,Conjunction,53,6,4.52,132.69,0.5255474452554745,0.48,Enhancement
Onset,Large 500-2000,3,Opposition,53,3,6.66,45.06,0.23597640235976403,-1.06,Suppression
Onset,Large 500-2000,3,Conjunction,53,8,6.65,120.24,0.5867413258674132,0.39,Enhancement
Onset,Large 500-2000,4,Opposition,53,6,8.71,68.9,0.5505449455054494,-0.65,Suppression
Onset,Large 500-2000,4,Conjunction,53,10,8.7,114.9,0.6297370262973703,0.27,Enhancement
Onset,Large 500-2000,5,Opposition,53,6,10.68,56.19,0.21377862213778623,-1.03,Suppression
Onset,Large 500-2000,5,Conjunction,53,10,10.67,93.69,1.0,-0.14,Suppression
Onset,Total,1,Opposition,33278,1285,1449.74,88.64,0.7061293870612939,-0.69,Suppression
Onset,Total,1,Conjunction,33278,1757,1451.79,121.02,0.2501749825017498,1.3,Enhancement
Onset,Total,2,Opposition,33278,2579,2844.09,90.68,0.9677032296770323,-0.59,Suppression
Onset,Total,2,Conjunction,33278,3407,2848.04,119.63,0.294970502949705,1.23,Enhancement
Onset,Total,3,Opposition,33278,3764,4184.88,89.94,0.9703029697030296,-0.64,Suppression
Onset,Total,3,Conjunction,33278,5003,4190.58,119.39,0.28057194280571945,1.27,Enhancement
Onset,Total,4,Opposition,33278,4899,5473.87,89.5,0.8553144685531446,-0.69,Suppression
Onset,Total,4,Conjunction,33278,6475,5481.18,118.13,0.3357664233576642,1.19,Enhancement
Onset,Total,5,Opposition,33278,6023,6712.78,89.72,0.8565143485651435,-0.7,Suppression
Onset,Total,5,Conjunction,33278,7829,6721.56,116.48,0.4203579642035796,1.12,Enhancement
Duration,Small <100,1,Opposition,69759,2680,3038.85,88.19,0.6835316468353164,-0.73,Suppression
