Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Total,23,Opposition,5,170,0.0662,256824
SG_Total,23,Conjunction,6,12,0.0047,256824
SG_Total,23,Opposition,6,1,0.0004,256824
SG_Total,23,Conjunction,7,0,0.0,256824
SG_Total,23,Opposition,7,0,0.0,256824
SG_Total,24,Conjunction,0,96958,37.7527,256824
SG_Total,24,Opposition,0,96464,37.5604,256824
SG_Total,24,Conjunction,1,98839,38.4851,256824
SG_Total,24,Opposition,1,98410,38.3181,256824
SG_Total,24,Conjunction,2,44907,17.4855,256824
SG_Total,24,Opposition,2,46632,18.1572,256824
SG_Total,24,Conjunction,3,13474,5.2464,256824
SG_Total,24,Opposition,3,12851,5.0038,256824
SG_Total,24,Conjunction,4,2351,0.9154,256824
SG_Total,24,Opposition,4,2252,0.8769,256824
SG_Total,24,Conjunction,5,276,0.1075,256824
SG_Total,24,Opposition,5,214,0.0833,256824
SG_Total,24,Conjunction,6,19,0.0074,256824
SG_Total,24,Opposition,6,1,0.0004,256824
SG_Total,24,Conjunction,7,0,0.0,256824
SG_Total,24,Opposition,7,0,0.0,256824
SG_Total,25,Conjunction,0,92841,36.1497,256824
SG_Total,25,Opposition,0,92418,35.985,256824
SG_Total,25,Conjunction,1,99182,38.6187,256824
SG_Total,25,Opposition,1,98463,38.3387,256824
SG_Total,25,Conjunction,2,46997,18.2993,256824
SG_Total,25,Opposition,2,49023,19.0882,256824
SG_Total,25,Conjunction,3,14794,5.7604,256824
SG_Total,25,Opposition,3,14111,5.4944,256824
SG_Total,25,Conjunction,4,2664,1.0373,256824
SG_Total,25,Opposition,4,2550,0.9929,256824
SG_Total,25,Conjunction,5,321,0.125,256824
SG_Total,25,Opposition,5,255,0.0993,256824
SG_Total,25,Conjunction,6,25,0.0097,256824
SG_Total,25,Opposition,6,4,0.0016,256824
SG_Total,25,Conjunction,7,0,0.0,256824
SG_Total,25,Opposition,7,0,0.0,256824
SG_Total,26,Conjunction,0,88929,34.6264,256824
SG_Total,26,Opposition,0,88564,34.4843,256824
SG_Total,26,Conjunction,1,99132,38.5992,256824
SG_Total,26,Opposition,1,98319,38.2826,256824
SG_Total,26,Conjunction,2,49219,19.1645,256824
SG_Total,26,Opposition,2,51234,19.9491,256824
SG_Total,26,Conjunction,3,16108,6.272,256824
SG_Total,26,Opposition,3,15477,6.0263,256824
SG_Total,26,Conjunction,4,3020,1.1759,256824
SG_Total,26,Opposition,4,2919,1.1366,256824
SG_Total,26,Conjunction,5,383,0.1491,256824
SG_Total,26,Opposition,5,305,0.1188,256824
SG_Total,26,Conjunction,6,33,0.0128,256824
SG_Total,26,Opposition,6,6,0.0023,256824
SG_Total,26,Conjunction,7,0,0.0,256824
SG_Total,26,Opposition,7,0,0.0,256824
SG_Total,27,Conjunction,0,85223,33.1834,256824
SG_Total,27,Opposition,0,84848,33.0374,256824
SG_Total,27,Conjunction,1,99000,38.5478,256824
SG_Total,27,Opposition,1,98119,38.2048,256824
SG_Total,27,Conjunction,2,51238,19.9506,256824
